Cancer_Type,ratio_1999,ratio_2023,change
Colon and Rectum,0.3809956395348837,0.3500967117988395,-0.03089892773604419
Female Breast,0.18698615698123813,0.1313267551643359,-0.05565940181690224
Liver and Intrahepatic Bile Duct,0.7860869565217391,0.7577142857142857,-0.028372670807453426
Lung and Bronchus,0.8817067345964018,0.7112211221122112,-0.17048561248419059
Melanomas of the Skin,0.14071696094168,0.07006369426751592,-0.07065326667416409
Non-Hodgkin Lymphoma,0.41746111389864526,0.25476320087098525,-0.16269791302766
Pancreas,0.9870009285051069,0.8242245199409158,-0.16277640856419107
Prostate,0.1828123210809573,0.14604973245199873,-0.036762588628958565
Urinary Bladder,0.20555032925682032,0.23331398723157282,0.027763657974752498
